onset	duration	trial_type	stimulus_number	response_made	response_key	response_time
1.501276	2.007522	image_1	1	0	n/a	n/a
18.199286	2.01645	image_1	1	1	1!	0.798065
32.297896	1.993748	image_2	2	0	n/a	n/a
48.457775	2.022514	image_1	1	0	n/a	n/a
63.013044	2.016693	image_3	3	0	n/a	n/a
79.772298	2.005823	image_1	1	0	n/a	n/a
96.444242	2.023866	image_4	4	0	n/a	n/a
113.103907	2.046311	image_1	1	0	n/a	n/a
129.61289	2.002939	image_5	5	0	n/a	n/a
145.87011	1.995595	image_2	2	0	n/a	n/a
162.746096	2.014499	image_2	2	1	1!	2.287505
179.454389	2.017799	image_3	3	0	n/a	n/a
195.433428	1.997913	image_2	2	0	n/a	n/a
211.565647	2.016115	image_4	4	0	n/a	n/a
232.301751	2.013427	image_2	2	0	n/a	n/a
248.424683	2.004577	image_5	5	0	n/a	n/a
264.855332	2.02037	image_3	3	0	n/a	n/a
279.953204	2.016598	image_3	3	1	1!	0.567481
296.736066	2.015243	image_4	4	0	n/a	n/a
313.351644	2.016353	image_3	3	0	n/a	n/a
329.15212	1.996362	image_5	5	0	n/a	n/a
344.425369	2.015125	image_4	4	0	n/a	n/a
359.331602	2.024956	image_4	4	1	1!	0.794347
375.232776	2.022495	image_5	5	0	n/a	n/a
389.731702	2.000517	image_5	5	1	1!	0.697066
408.848075	2.033602	image_1	1	0	n/a	n/a
426.507519	2.039624	image_2	2	0	n/a	n/a
444.887641	1.989838	image_5	5	0	n/a	n/a
463.019359	2.017868	image_4	4	0	n/a	n/a
480.443009	2.022168	image_3	3	0	n/a	n/a
496.381241	2.015785	image_3	3	0	n/a	n/a
514.140734	2.017945	image_4	4	0	n/a	n/a
531.803516	2.000428	image_5	5	0	n/a	n/a
549.753425	2.003794	image_2	2	0	n/a	n/a
568.74013	2.020014	image_1	1	0	n/a	n/a
586.397422	2.041662	image_5	5	0	n/a	n/a
604.264789	1.998196	image_5	5	1	1!	0.54618
625.017369	2.039464	image_4	4	0	n/a	n/a
643.351246	2.016674	image_4	4	1	1!	0.637763
659.506234	1.9991	image_5	5	0	n/a	n/a
673.914858	2.031789	image_3	3	0	n/a	n/a
690.397248	2.040886	image_4	4	0	n/a	n/a
708.180379	2.03393	image_3	3	1	1!	0.864291
725.522722	2.056733	image_3	3	1	1!	0.707667
746.272595	2.082516	image_5	5	0	n/a	n/a
770.388274	2.006375	image_2	2	0	n/a	n/a
785.83327	2.057619	image_4	4	0	n/a	n/a
802.306441	2.019793	image_2	2	0	n/a	n/a
818.070856	2.022557	image_3	3	0	n/a	n/a
834.660723	2.037829	image_2	2	0	n/a	n/a
850.624809	2.054147	image_2	2	1	1!	0.693928
865.582295	2.038605	image_5	5	0	n/a	n/a
881.506198	2.06583	image_1	1	0	n/a	n/a
896.030196	2.032633	image_4	4	0	n/a	n/a
910.060331	2.058273	image_1	1	0	n/a	n/a
925.752039	2.049244	image_3	3	0	n/a	n/a
941.836051	2.031339	image_1	1	0	n/a	n/a
959.778053	2.045234	image_2	2	0	n/a	n/a
973.891266	2.036256	image_1	1	0	n/a	n/a
989.622044	2.066431	image_1	1	1	1!	1.211638
