onset	duration	trial_type	stimulus_number	response_made	response_key	response_time
9.502328	2.016606	image_1	1	0	n/a	n/a
28.751349	2.024886	image_1	1	1	4$	0.889496
43.108935	1.9999	image_2	2	0	n/a	n/a
62.116302	2.016555	image_1	1	0	n/a	n/a
78.590451	2.041582	image_3	3	0	n/a	n/a
95.456298	2.01652	image_1	1	0	n/a	n/a
117.71352	2.024857	image_4	4	0	n/a	n/a
133.412636	2.016553	image_1	1	0	n/a	n/a
149.27848	1.999892	image_5	5	0	n/a	n/a
164.46104	2.008229	image_2	2	0	n/a	n/a
183.435066	1.991555	image_2	2	1	4$	2.163538
200.842502	2.024889	image_3	3	0	n/a	n/a
219.591535	2.008226	image_2	2	0	n/a	n/a
236.765655	2.024889	image_4	4	0	n/a	n/a
253.064822	1.999892	image_2	2	0	n/a	n/a
272.455484	1.999891	image_5	5	0	n/a	n/a
286.688133	2.016519	image_3	3	0	n/a	n/a
303.95388	2.024878	image_3	3	1	4$	1.07017
322.702916	2.033268	image_4	4	0	n/a	n/a
339.235396	2.058214	image_3	3	0	n/a	n/a
355.951196	1.999936	image_5	5	0	n/a	n/a
375.016928	2.024891	image_4	4	0	n/a	n/a
392.824354	2.058172	image_4	4	1	4$	0.969275
410.881707	2.041556	image_5	5	0	n/a	n/a
426.555899	1.999897	image_5	5	1	4$	0.70698
442.305093	2.03323	image_1	1	0	n/a	n/a
458.912572	2.024902	image_2	2	0	n/a	n/a
478.261576	2.01656	image_5	5	1	4$	5.06571
494.777405	2.033259	image_4	4	0	n/a	n/a
512.526488	2.033218	image_3	3	0	n/a	n/a
526.875757	2.033257	image_3	3	1	4$	1.131033
540.958364	2.033224	image_4	4	0	n/a	n/a
557.640832	2.008236	image_5	5	0	n/a	n/a
573.481692	2.008298	image_2	2	0	n/a	n/a
590.014171	2.03322	image_1	1	0	n/a	n/a
611.29641	1.999908	image_5	5	0	n/a	n/a
629.762129	2.058221	image_5	5	1	4$	0.868229
647.13625	2.033232	image_4	4	0	n/a	n/a
662.027139	2.033268	image_4	4	1	4$	1.009563
676.76805	2.024889	image_5	5	0	n/a	n/a
692.800564	2.016548	image_3	3	0	n/a	n/a
710.682971	2.016556	image_4	4	0	n/a	n/a
727.432109	2.024938	image_3	3	0	n/a	n/a
745.031209	2.033265	image_3	3	0	n/a	n/a
762.230318	2.008224	image_5	5	0	n/a	n/a
778.179548	2.024926	image_2	2	0	n/a	n/a
795.728602	2.033231	image_4	4	0	n/a	n/a
812.394455	2.016513	image_2	2	0	n/a	n/a
830.951803	2.033211	image_3	3	0	n/a	n/a
848.784207	2.049919	image_2	2	0	n/a	n/a
865.383396	1.99985	image_2	2	1	4$	1.060177
883.424092	1.999892	image_5	5	0	n/a	n/a
901.656499	2.024882	image_1	1	0	n/a	n/a
917.747376	2.041508	image_4	4	0	n/a	n/a
931.37163	2.033287	image_1	1	0	n/a	n/a
946.629187	2.03324	image_3	3	0	n/a	n/a
962.395035	2.024899	image_1	1	0	n/a	n/a
979.33583	2.008271	image_2	2	0	n/a	n/a
997.543231	2.033265	image_1	1	0	n/a	n/a
1013.734062	2.024904	image_1	1	1	4$	0.908555
