onset	duration	trial_type	stimulus_number	response_made	response_key	response_time
5.737615	2.016557	image_1	1	0	n/a	n/a
21.911793	2.016586	image_1	1	1	2@	0.858633
39.410895	2.016545	image_2	2	0	n/a	n/a
57.493285	2.016604	image_1	1	0	n/a	n/a
71.767551	2.024896	image_3	3	0	n/a	n/a
88.408366	2.008227	image_1	1	0	n/a	n/a
103.457591	2.024895	image_4	4	0	n/a	n/a
118.915168	2.008185	image_1	1	0	n/a	n/a
136.830869	1.991563	image_5	5	0	n/a	n/a
154.971607	1.991579	image_2	2	0	n/a	n/a
171.120772	2.008253	image_2	2	1	3#	6.288657
186.903297	2.016558	image_3	3	0	n/a	n/a
203.844095	2.016617	image_2	2	0	n/a	n/a
220.668227	2.008229	image_4	4	0	n/a	n/a
236.250757	1.999888	image_2	2	0	n/a	n/a
254.099836	1.991571	image_5	5	0	n/a	n/a
269.224067	2.016564	image_3	3	0	n/a	n/a
291.481252	2.016557	image_3	3	1	2@	1.656467
309.780307	2.008224	image_4	4	0	n/a	n/a
325.704509	2.016533	image_3	3	0	n/a	n/a
339.32883	1.991588	image_5	5	0	n/a	n/a
356.369575	2.024897	image_4	4	0	n/a	n/a
374.018683	2.008212	image_4	4	1	3#	0.949764
391.392772	1.991631	image_5	5	0	n/a	n/a
408.850267	1.9915	image_5	5	1	3#	0.717014
426.174322	2.016551	image_1	1	0	n/a	n/a
443.373443	1.991558	image_5	5	0	n/a	n/a
460.130903	2.016559	image_4	4	0	n/a	n/a
477.421691	2.049879	image_2	2	0	n/a	n/a
495.454092	2.024891	image_3	3	0	n/a	n/a
512.228273	2.016513	image_3	3	1	3#	0.767665
529.577331	2.016557	image_2	2	0	n/a	n/a
547.134765	2.024883	image_4	4	0	n/a	n/a
566.333781	1.999884	image_5	5	0	n/a	n/a
585.507796	2.024883	image_1	1	0	n/a	n/a
601.565341	2.008254	image_5	5	0	n/a	n/a
618.806073	1.999889	image_5	5	1	3#	1.161326
635.846866	2.016553	image_4	4	0	n/a	n/a
651.021085	2.02489	image_4	4	1	4$	0.979426
669.17015	2.058264	image_5	5	0	n/a	n/a
684.286084	2.033178	image_3	3	0	n/a	n/a
698.651965	2.049899	image_4	4	0	n/a	n/a
714.667814	2.01655	image_3	3	0	n/a	n/a
733.208525	2.04156	image_3	3	1	4$	0.959306
748.94938	2.049893	image_5	5	0	n/a	n/a
774.331405	2.041605	image_2	2	0	n/a	n/a
790.588907	2.024888	image_4	4	0	n/a	n/a
806.31309	2.049896	image_2	2	0	n/a	n/a
821.253992	2.016557	image_3	3	0	n/a	n/a
836.794853	2.041564	image_2	2	0	n/a	n/a
851.644095	2.008233	image_2	2	1	4$	0.928932
868.993273	1.991491	image_5	5	0	n/a	n/a
886.78395	2.01656	image_1	1	0	n/a	n/a
901.949848	2.016549	image_4	4	0	n/a	n/a
916.365764	2.099955	image_1	1	0	n/a	n/a
932.656599	2.024879	image_3	3	0	n/a	n/a
949.42241	2.08325	image_1	1	0	n/a	n/a
967.146485	1.991565	image_2	2	0	n/a	n/a
984.40393	2.033225	image_1	1	0	n/a	n/a
999.46982	2.09155	image_1	1	1	4$	0.989631
