onset	duration	trial_type	stimulus_number	response_made	response_key	response_time
25.299996	2.066563	image_1	1	1	3#	-7.143605
40.474218	2.058304	image_1	1	1	3#	-7.40747
55.298537	2.058193	image_2	2	0	n/a	n/a
73.264288	2.083228	image_1	1	1	3#	-3.487443
88.246891	2.066558	image_3	3	0	n/a	n/a
102.721186	2.083227	image_1	1	1	3#	-4.113042
117.6538	2.066556	image_4	4	0	n/a	n/a
135.844576	2.083221	image_1	1	0	n/a	n/a
152.143781	2.041561	image_5	5	0	n/a	n/a
168.251328	2.049974	image_2	2	0	n/a	n/a
183.633936	2.041541	image_2	2	1	3#	-8.446844
201.358081	2.074863	image_3	3	0	n/a	n/a
217.590596	2.049904	image_2	2	0	n/a	n/a
233.781476	2.066562	image_4	4	0	n/a	n/a
249.689035	2.049938	image_2	2	0	n/a	n/a
265.671587	2.049895	image_5	5	0	n/a	n/a
281.970805	2.099891	image_3	3	0	n/a	n/a
298.369999	2.091604	image_3	3	1	3#	-6.779842
314.852531	2.066559	image_4	4	0	n/a	n/a
331.46839	2.074938	image_3	3	0	n/a	n/a
347.625935	2.049891	image_5	5	0	n/a	n/a
367.066655	2.074899	image_4	4	0	n/a	n/a
383.582515	2.083271	image_4	4	1	3#	-8.437437
399.098426	2.091579	image_5	5	0	n/a	n/a
415.447629	2.049897	image_5	5	1	3#	-8.142551
430.763608	2.066517	image_1	1	0	n/a	n/a
446.679445	2.066562	image_5	5	0	n/a	n/a
463.795334	2.074845	image_4	4	0	n/a	n/a
480.886115	2.058225	image_2	2	0	n/a	n/a
498.401928	2.074894	image_3	3	0	n/a	n/a
517.542668	2.074936	image_1	1	0	n/a	n/a
536.058435	2.066562	image_1	1	1	3#	-8.104343
553.132595	2.058239	image_2	2	0	n/a	n/a
572.215007	2.058226	image_1	1	0	n/a	n/a
588.005908	2.058219	image_3	3	0	n/a	n/a
603.671822	2.06655	image_1	1	0	n/a	n/a
622.170791	2.133335	image_4	4	0	n/a	n/a
641.545009	2.11651	image_1	1	0	n/a	n/a
659.44409	2.049895	image_5	5	0	n/a	n/a
677.743203	2.058224	image_2	2	0	n/a	n/a
693.367442	2.058242	image_2	2	1	3#	-8.467783
707.908401	2.07497	image_3	3	0	n/a	n/a
722.541037	2.058218	image_2	2	0	n/a	n/a
737.515304	2.074888	image_4	4	0	n/a	n/a
753.097863	2.058235	image_2	2	0	n/a	n/a
771.413647	2.074898	image_5	5	0	n/a	n/a
787.362866	2.066563	image_3	3	0	n/a	n/a
804.4537	2.149892	image_3	3	1	3#	-7.862133
819.311317	2.066599	image_4	4	0	n/a	n/a
836.002166	2.074901	image_3	3	0	n/a	n/a
851.251417	2.049902	image_5	5	0	n/a	n/a
868.458919	2.124904	image_4	4	0	n/a	n/a
888.257956	2.066558	image_4	4	1	3#	-8.053958
903.998852	2.049908	image_5	5	0	n/a	n/a
920.473049	2.041566	image_5	5	0	n/a	n/a
939.080482	2.066561	image_1	1	0	n/a	n/a
955.971322	2.049898	image_5	5	0	n/a	n/a
972.103881	2.066549	image_4	4	0	n/a	n/a
988.044809	2.041526	image_2	2	0	n/a	n/a
1004.5023	2.083226	image_3	3	0	n/a	n/a
