onset	duration	trial_type	stimulus_number	response_made	response_key	response_time
4.959799	3	odor_5	5	0	n/a	n/a
26.164939	3	odor_3	3	0	n/a	n/a
47.156667	3	odor_4	4	0	n/a	n/a
65.972202	3	odor_2	2	0	n/a	n/a
88.064973	3	odor_1	1	0	n/a	n/a
108.013102	3	odor_5	5	0	n/a	n/a
132.101378	3	odor_5	5	1	1!	1.613465
155.932334	3	odor_4	4	0	n/a	n/a
181.290445	3	odor_4	4	1	1!	2.534868
205.967124	3	odor_5	5	0	n/a	n/a
231.278548	3	odor_3	3	0	n/a	n/a
264.231042	3	odor_4	4	0	n/a	n/a
286.664776	3	odor_3	3	0	n/a	n/a
309.729696	3	odor_3	3	1	1!	2.922043
337.2298	3	odor_5	5	0	n/a	n/a
358.576459	3	odor_2	2	0	n/a	n/a
381.642047	3	odor_4	4	0	n/a	n/a
410.483113	3	odor_2	2	0	n/a	n/a
438.947402	3	odor_3	3	0	n/a	n/a
457.325735	3	odor_2	2	0	n/a	n/a
481.651025	3	odor_2	2	0	n/a	n/a
504.225967	3	odor_5	5	0	n/a	n/a
532.320255	3	odor_1	1	0	n/a	n/a
556.191023	3	odor_4	4	0	n/a	n/a
583.66545	3	odor_1	1	0	n/a	n/a
603.914015	3	odor_3	3	0	n/a	n/a
626.30035	3	odor_1	1	0	n/a	n/a
644.894674	3	odor_2	2	0	n/a	n/a
675.020853	3	odor_1	1	0	n/a	n/a
693.91068	3	odor_1	1	1	1!	2.548554
