onset	duration	trial_type	stimulus_number	response_made	response_key	response_time
2.290349	2.009267	image_1	1	0	n/a	n/a
19.696618	2.009048	image_1	1	0	n/a	n/a
36.093264	2.010014	image_2	2	0	n/a	n/a
51.42189	2.015681	image_1	1	0	n/a	n/a
66.300861	2.016439	image_3	3	0	n/a	n/a
84.401897	2.017293	image_1	1	1	4$	0.586299
102.927538	2.025267	image_4	4	0	n/a	n/a
118.852344	2.018106	image_1	1	0	n/a	n/a
135.258993	1.992304	image_5	5	0	n/a	n/a
151.950337	2.020955	image_2	2	0	n/a	n/a
167.591274	2.029317	image_2	2	1	4$	1.020212
183.912973	2.015965	image_3	3	1	4$	2.16788
200.606536	2.053885	image_2	2	1	4$	1.050508
216.347801	2.0129	image_4	4	0	n/a	n/a
232.186227	2.024537	image_2	2	0	n/a	n/a
248.095275	2.007027	image_5	5	0	n/a	n/a
264.524427	2.007187	image_3	3	0	n/a	n/a
278.3322	2.065233	image_3	3	1	4$	1.302869
293.828416	2.004595	image_4	4	0	n/a	n/a
312.67249	2.013235	image_3	3	1	4$	0.717567
327.43373	1.986733	image_5	5	0	n/a	n/a
343.554603	2.067753	image_4	4	1	4$	2.088309
358.987043	2.017728	image_4	4	1	4$	0.807957
374.681178	1.995417	image_5	5	0	n/a	n/a
390.905962	1.997341	image_5	5	1	4$	13.617678
408.655714	2.027376	image_1	1	0	n/a	n/a
424.237719	2.019697	image_2	2	1	4$	0.908923
441.756999	1.993921	image_5	5	0	n/a	n/a
458.187677	2.017871	image_4	4	0	n/a	n/a
475.105028	2.018128	image_3	3	1	4$	0.717307
491.313621	2.009271	image_3	3	1	4$	1.524874
506.135331	2.020113	image_4	4	0	n/a	n/a
522.62295	1.995237	image_5	5	1	4$	0.616171
538.636226	2.002565	image_2	2	1	4$	1.817456
555.577776	2.031026	image_1	1	1	4$	0.424598
571.750018	2.012181	image_5	5	0	n/a	n/a
586.023788	1.991138	image_5	5	1	4$	1.343162
604.951203	2.013827	image_4	4	0	n/a	n/a
621.402014	2.020772	image_4	4	1	4$	0.888688
637.834508	1.995332	image_5	5	0	n/a	n/a
654.389189	2.022584	image_3	3	1	4$	0.767659
670.777828	2.008223	image_4	4	1	4$	0.777804
687.574466	2.013405	image_3	3	1	4$	1.605675
703.953106	2.023429	image_3	3	1	4$	1.040416
722.979534	2.041888	image_5	5	1	4$	2.425945
739.398824	2.046028	image_2	2	1	4$	1.676732
755.910114	2.021549	image_4	4	0	n/a	n/a
773.768103	1.998849	image_2	2	0	n/a	n/a
790.20797	2.019575	image_3	3	0	n/a	n/a
808.349524	1.998991	image_2	2	0	n/a	n/a
825.6537	2.010358	image_2	2	1	4$	0.959403
841.323899	1.995214	image_5	5	0	n/a	n/a
857.794663	2.051386	image_1	1	0	n/a	n/a
873.103375	2.017479	image_4	4	1	4$	1.777306
888.912357	2.032533	image_1	1	0	n/a	n/a
904.086542	2.031676	image_3	3	1	4$	0.939263
922.58472	2.025685	image_1	1	1	4$	1.871454
938.931137	2.008569	image_2	2	1	4$	0.954495
954.399129	2.023749	image_1	1	0	n/a	n/a
971.532038	2.025534	image_1	1	0	n/a	n/a
