onset	duration	trial_type	stimulus_number	response_made	response_key	response_time
3.688718	2.03326	image_1	1	0	n/a	n/a
23.562729	2.033229	image_1	1	1	2@	1.202535
39.995179	2.008221	image_2	2	0	n/a	n/a
56.386001	2.041602	image_1	1	0	n/a	n/a
74.251752	2.01656	image_3	3	0	n/a	n/a
89.992619	2.024878	image_1	1	0	n/a	n/a
106.441762	2.024909	image_4	4	0	n/a	n/a
120.324379	2.033226	image_1	1	0	n/a	n/a
137.773487	1.999936	image_5	5	0	n/a	n/a
155.10593	1.999934	image_2	2	0	n/a	n/a
173.79666	1.999943	image_2	2	1	2@	1.121228
189.654169	2.033249	image_3	3	0	n/a	n/a
206.578279	2.01664	image_2	2	0	n/a	n/a
222.377471	2.024886	image_4	4	0	n/a	n/a
240.401545	2.016553	image_2	2	0	n/a	n/a
256.500717	2.016615	image_5	5	0	n/a	n/a
270.499996	2.024892	image_3	3	0	n/a	n/a
287.649115	2.016569	image_3	3	1	2@	2.107948
304.689951	2.024852	image_4	4	0	n/a	n/a
322.547326	2.024928	image_3	3	0	n/a	n/a
340.321421	2.016543	image_5	5	0	n/a	n/a
355.562293	2.05822	image_4	4	0	n/a	n/a
384.110825	2.024934	image_4	4	1	2@	1.264595
401.593257	1.999893	image_5	5	0	n/a	n/a
418.925696	2.008242	image_5	5	1	1!	1.000616
436.149817	2.049883	image_1	1	0	n/a	n/a
453.973896	2.008229	image_2	2	0	n/a	n/a
471.689652	2.016562	image_5	5	0	n/a	n/a
488.688787	2.016554	image_4	4	0	n/a	n/a
506.387936	2.033156	image_3	3	0	n/a	n/a
520.503814	2.024884	image_3	3	1	1!	1.636557
537.77792	2.024891	image_4	4	0	n/a	n/a
554.710429	2.016512	image_5	5	0	n/a	n/a
572.701124	2.033226	image_2	2	0	n/a	n/a
588.308667	2.024925	image_1	1	0	n/a	n/a
606.507723	1.999888	image_5	5	0	n/a	n/a
622.290253	2.008263	image_5	5	1	2@	1.395398
640.322696	2.024914	image_4	4	0	n/a	n/a
657.80509	2.033263	image_4	4	0	n/a	n/a
671.946023	2.016603	image_5	5	0	n/a	n/a
688.061881	2.033248	image_3	3	0	n/a	n/a
706.277664	2.02487	image_4	4	0	n/a	n/a
724.568326	2.024907	image_3	3	0	n/a	n/a
741.425801	2.033226	image_3	3	0	n/a	n/a
758.408287	2.008187	image_5	5	0	n/a	n/a
776.540645	2.024936	image_2	2	0	n/a	n/a
794.114751	2.033222	image_4	4	0	n/a	n/a
810.822216	2.008226	image_2	2	0	n/a	n/a
826.088101	2.024889	image_3	3	0	n/a	n/a
843.720527	1.999893	image_2	2	0	n/a	n/a
861.511278	2.008229	image_2	2	1	1!	1.231904
880.22698	1.999905	image_5	5	0	n/a	n/a
896.61781	2.024889	image_1	1	0	n/a	n/a
911.142066	2.049931	image_4	4	0	n/a	n/a
924.941355	2.024895	image_1	1	0	n/a	n/a
941.790505	2.033249	image_3	3	0	n/a	n/a
959.064661	2.041493	image_1	1	0	n/a	n/a
980.013518	2.016557	image_2	2	0	n/a	n/a
997.654285	2.033224	image_1	1	0	n/a	n/a
1015.536702	2.041545	image_1	1	0	n/a	n/a
