onset	duration	trial_type	stimulus_number	response_made	response_key	response_time
110.982645	3	odor_1	1	0	n/a	n/a
130.439034	3	odor_3	3	0	n/a	n/a
150.932934	3	odor_1	1	0	n/a	n/a
171.102881	3	odor_4	4	0	n/a	n/a
192.213396	3	odor_1	1	0	n/a	n/a
212.266606	3	odor_5	5	0	n/a	n/a
232.294963	3	odor_2	2	0	n/a	n/a
252.486252	3	odor_2	2	1	2@	2.084678
271.959644	3	odor_3	3	0	n/a	n/a
290.359628	3	odor_2	2	0	n/a	n/a
315.599033	3	odor_4	4	0	n/a	n/a
334.167887	3	odor_2	2	0	n/a	n/a
355.642915	3	odor_5	5	0	n/a	n/a
374.07203	3	odor_3	3	0	n/a	n/a
395.052339	3	odor_3	3	1	2@	2.812047
416.088627	3	odor_4	4	1	2@	3.67247
436.535922	3	odor_3	3	0	n/a	n/a
456.510053	3	odor_5	5	0	n/a	n/a
475.790598	3	odor_4	4	0	n/a	n/a
496.024692	3	odor_4	4	0	n/a	n/a
517.947533	3	odor_5	5	0	n/a	n/a
540.639277	3	odor_5	5	0	n/a	n/a
564.344835	3	odor_1	1	0	n/a	n/a
584.979822	3	odor_5	5	0	n/a	n/a
603.526894	3	odor_4	4	0	n/a	n/a
623.057641	3	odor_2	2	0	n/a	n/a
643.522929	3	odor_3	3	0	n/a	n/a
