onset	duration	trial_type	stimulus_number	response_made	response_key	response_time
6.261659	2.008218	image_1	1	0	n/a	n/a
23.619254	2.016404	image_1	1	1	3#	0.43511
41.951533	2.008179	image_2	2	0	n/a	n/a
58.867288	2.016597	image_1	1	0	n/a	n/a
79.649552	2.016566	image_3	3	0	n/a	n/a
100.348489	2.033227	image_1	1	1	2@	1.636021
120.180803	2.024928	image_4	4	0	n/a	n/a
139.704796	2.024895	image_1	1	0	n/a	n/a
156.745582	1.999894	image_5	5	0	n/a	n/a
172.286456	1.991594	image_2	2	0	n/a	n/a
190.827171	1.999884	image_2	2	0	n/a	n/a
207.342983	2.016559	image_3	3	0	n/a	n/a
228.900203	2.008257	image_2	2	0	n/a	n/a
250.49076	2.024891	image_4	4	0	n/a	n/a
266.92326	1.999889	image_2	2	0	n/a	n/a
287.913836	1.991558	image_5	5	0	n/a	n/a
304.42132	2.016599	image_3	3	0	n/a	n/a
319.403888	2.01655	image_3	3	1	2@	1.475045
348.760709	2.008223	image_4	4	0	n/a	n/a
379.892441	2.016553	image_3	3	0	n/a	n/a
409.149266	1.999894	image_5	5	0	n/a	n/a
432.981373	2.049938	image_4	4	0	n/a	n/a
456.22185	2.033278	image_4	4	1	1!	0.686971
472.096029	1.991561	image_5	5	0	n/a	n/a
489.103506	2.008212	image_5	5	1	1!	0.979967
507.294266	2.016511	image_1	1	0	n/a	n/a
524.335012	1.999888	image_2	2	0	n/a	n/a
544.192321	1.999892	image_5	5	1	1!	1.898855
565.49124	2.024921	image_4	4	0	n/a	n/a
587.72342	2.024898	image_3	3	0	n/a	n/a
610.538932	2.008206	image_3	3	1	1!	1.060483
630.52955	2.024969	image_4	4	0	n/a	n/a
654.619984	1.991549	image_5	5	0	n/a	n/a
677.685472	2.008216	image_2	2	0	n/a	n/a
694.426265	2.024893	image_1	1	0	n/a	n/a
711.792035	2.008225	image_5	5	0	n/a	n/a
735.040844	1.999886	image_5	5	0	n/a	n/a
761.414484	2.016619	image_4	4	0	n/a	n/a
781.480123	2.058222	image_4	4	0	n/a	n/a
801.095823	1.991513	image_5	5	0	n/a	n/a
815.761687	2.0249	image_3	3	0	n/a	n/a
831.585876	2.041552	image_4	4	0	n/a	n/a
861.251022	2.033217	image_3	3	0	n/a	n/a
881.374982	2.033222	image_3	3	0	n/a	n/a
899.474051	1.991556	image_5	5	0	n/a	n/a
918.148116	2.758158	image_2	2	0	n/a	n/a
936.41382	2.016555	image_4	4	0	n/a	n/a
956.312814	2.008211	image_2	2	0	n/a	n/a
976.370086	2.033236	image_3	3	0	n/a	n/a
995.852444	2.008221	image_2	2	0	n/a	n/a
1015.118132	1.999879	image_2	2	1	1!	0.686775
1030.675635	1.999896	image_5	5	0	n/a	n/a
1051.066259	2.033225	image_1	1	0	n/a	n/a
1069.948658	2.024859	image_4	4	0	n/a	n/a
1084.031293	2.041486	image_1	1	0	n/a	n/a
1099.172114	2.033229	image_3	3	0	n/a	n/a
1114.929644	2.024885	image_1	1	0	n/a	n/a
1139.070057	1.999895	image_2	2	0	n/a	n/a
1160.668958	2.066593	image_1	1	0	n/a	n/a
1175.843172	2.033218	image_1	1	1	1!	1.383656
