onset	duration	trial_type	stimulus_number	response_made	response_key	response_time
12.349904	3	odor_1	1	1	2@	12.570357
34.082205	3	odor_1	1	1	2@	13.451086
52.094911	3	odor_2	2	0	n/a	n/a
70.929172	3	odor_1	1	0	n/a	n/a
93.367878	3	odor_3	3	0	n/a	n/a
114.922254	3	odor_1	1	0	n/a	n/a
136.636805	3	odor_4	4	0	n/a	n/a
158.77334	3	odor_1	1	0	n/a	n/a
182.401761	3	odor_5	5	0	n/a	n/a
204.553465	3	odor_2	2	0	n/a	n/a
225.071132	3	odor_2	2	1	2@	3.599221
247.823749	3	odor_3	3	1	2@	3.894192
267.49264	3	odor_2	2	1	2@	3.826303
288.849407	3	odor_4	4	0	n/a	n/a
309.014345	3	odor_2	2	1	2@	3.802069
331.860426	3	odor_5	5	0	n/a	n/a
353.164167	3	odor_3	3	1	2@	3.811985
373.546321	3	odor_3	3	0	n/a	n/a
395.336803	3	odor_4	4	1	2@	4.80203
418.932451	3	odor_3	3	1	2@	4.208991
440.257328	3	odor_5	5	1	2@	4.38801
461.337149	3	odor_4	4	1	2@	3.577796
484.617073	3	odor_4	4	1	2@	3.476364
504.203168	3	odor_5	5	1	2@	3.611873
525.954124	3	odor_5	5	1	2@	3.492371
545.765637	3	odor_1	1	0	n/a	n/a
567.993168	3	odor_4	4	1	2@	3.731562
589.557971	3	odor_2	2	1	2@	3.542289
608.290038	3	odor_3	3	0	n/a	n/a
626.958446	3	odor_5	5	1	2@	3.639222
