onset	duration	trial_type	stimulus_number	response_made	response_key	response_time
6.968992	3	odor_5	5	0	n/a	n/a
27.007296	3	odor_3	3	0	n/a	n/a
47.582558	3	odor_4	4	0	n/a	n/a
69.669738	3	odor_2	2	0	n/a	n/a
89.64292	3	odor_1	1	0	n/a	n/a
108.58928	3	odor_5	5	0	n/a	n/a
128.656003	3	odor_5	5	1	2@	2.634317
148.551217	3	odor_4	4	0	n/a	n/a
169.886419	3	odor_4	4	1	2@	2.53621
192.87535	3	odor_5	5	0	n/a	n/a
212.49388	3	odor_3	3	0	n/a	n/a
234.747739	3	odor_4	4	1	2@	3.855045
255.44469	3	odor_3	3	0	n/a	n/a
275.646118	3	odor_3	3	0	n/a	n/a
299.355113	3	odor_5	5	0	n/a	n/a
325.957499	3	odor_2	2	0	n/a	n/a
350.893647	3	odor_4	4	0	n/a	n/a
369.08352	3	odor_2	2	0	n/a	n/a
389.536957	3	odor_3	3	0	n/a	n/a
408.064453	3	odor_2	2	1	2@	3.499007
431.446283	3	odor_2	2	1	2@	3.835881
451.713008	3	odor_5	5	0	n/a	n/a
474.457819	3	odor_1	1	0	n/a	n/a
494.824308	3	odor_4	4	0	n/a	n/a
517.49878	3	odor_1	1	0	n/a	n/a
537.4216	3	odor_3	3	0	n/a	n/a
565.664295	3	odor_1	1	0	n/a	n/a
585.488464	3	odor_2	2	0	n/a	n/a
608.102647	3	odor_1	1	0	n/a	n/a
627.648175	3	odor_1	1	1	2@	3.387705
