onset	duration	trial_type	stimulus_number	response_made	response_key	response_time
20.688167	3	odor_1	1	1	1!	13.410389
39.320292	3	odor_1	1	1	1!	2.551041
61.772988	3	odor_2	2	0	n/a	n/a
86.484353	3	odor_1	1	0	n/a	n/a
107.035404	3	odor_3	3	0	n/a	n/a
133.197992	3	odor_1	1	0	n/a	n/a
155.677494	3	odor_4	4	0	n/a	n/a
180.05394	3	odor_1	1	1	1!	3.885614
201.428992	3	odor_5	5	0	n/a	n/a
225.533661	3	odor_2	2	0	n/a	n/a
249.492266	3	odor_2	2	1	1!	1.98723
270.134039	3	odor_3	3	0	n/a	n/a
291.716437	3	odor_2	2	0	n/a	n/a
312.627402	3	odor_4	4	0	n/a	n/a
334.465879	3	odor_2	2	0	n/a	n/a
355.947751	3	odor_5	5	0	n/a	n/a
376.984813	3	odor_3	3	0	n/a	n/a
399.379754	3	odor_3	3	0	n/a	n/a
424.139102	3	odor_4	4	0	n/a	n/a
449.901005	3	odor_3	3	0	n/a	n/a
470.863948	3	odor_5	5	0	n/a	n/a
491.979512	3	odor_4	4	0	n/a	n/a
517.788712	3	odor_4	4	0	n/a	n/a
538.946888	3	odor_5	5	0	n/a	n/a
561.808341	3	odor_5	5	1	1!	3.399293
585.926221	3	odor_1	1	0	n/a	n/a
606.120272	3	odor_2	2	0	n/a	n/a
631.130119	3	odor_3	3	0	n/a	n/a
653.798097	3	odor_4	4	0	n/a	n/a
681.04057	3	odor_5	5	0	n/a	n/a
