onset	duration	trial_type	stimulus_number	response_made	response_key	response_time
4.502312	3	odor_1	1	0	n/a	n/a
24.058464	3	odor_1	1	1	2@	3.776763
45.049394	3	odor_2	2	1	2@	5.219524
68.040986	3	odor_1	1	0	n/a	n/a
90.256919	3	odor_3	3	0	n/a	n/a
109.211889	3	odor_1	1	0	n/a	n/a
130.01389	3	odor_4	4	0	n/a	n/a
151.208242	3	odor_1	1	0	n/a	n/a
172.801972	3	odor_5	5	0	n/a	n/a
192.655124	3	odor_2	2	0	n/a	n/a
212.45992	3	odor_2	2	0	n/a	n/a
231.757308	3	odor_3	3	0	n/a	n/a
254.248563	3	odor_2	2	0	n/a	n/a
274.060397	3	odor_4	4	0	n/a	n/a
295.273095	3	odor_2	2	0	n/a	n/a
316.084484	3	odor_5	5	1	2@	3.731405
337.855115	3	odor_3	3	0	n/a	n/a
356.744984	3	odor_3	3	1	2@	3.804133
377.710869	3	odor_4	4	0	n/a	n/a
396.454845	3	odor_3	3	0	n/a	n/a
417.741738	3	odor_5	5	0	n/a	n/a
435.566649	3	odor_4	4	0	n/a	n/a
456.622053	3	odor_4	4	1	2@	3.421821
477.490954	3	odor_5	5	0	n/a	n/a
499.694817	3	odor_5	5	0	n/a	n/a
518.645731	3	odor_1	1	0	n/a	n/a
537.625291	3	odor_2	2	0	n/a	n/a
556.703478	3	odor_4	4	0	n/a	n/a
576.725037	3	odor_3	3	0	n/a	n/a
597.03887	3	odor_5	5	0	n/a	n/a
