onset	duration	trial_type	stimulus_number	response_made	response_key	response_time
18.513676	3	odor_1	1	0	n/a	n/a
38.292598	3	odor_1	1	0	n/a	n/a
59.508137	3	odor_2	2	0	n/a	n/a
80.855401	3	odor_1	1	0	n/a	n/a
101.214124	3	odor_3	3	0	n/a	n/a
123.271233	3	odor_1	1	0	n/a	n/a
144.954062	3	odor_4	4	0	n/a	n/a
164.80634	3	odor_1	1	0	n/a	n/a
186.585516	3	odor_5	5	0	n/a	n/a
209.253591	3	odor_2	2	0	n/a	n/a
228.914527	3	odor_2	2	0	n/a	n/a
248.761306	3	odor_3	3	0	n/a	n/a
271.694243	3	odor_2	2	1	2@	4.288563
290.413226	3	odor_4	4	1	2@	3.487708
314.618607	3	odor_2	2	1	2@	5.483365
334.871006	3	odor_5	5	0	n/a	n/a
355.514973	3	odor_3	3	0	n/a	n/a
375.893265	3	odor_3	3	0	n/a	n/a
393.429806	3	odor_4	4	0	n/a	n/a
413.693878	3	odor_3	3	0	n/a	n/a
434.653143	3	odor_5	5	0	n/a	n/a
456.219933	3	odor_4	4	0	n/a	n/a
479.309644	3	odor_4	4	0	n/a	n/a
501.644812	3	odor_5	5	0	n/a	n/a
520.488762	3	odor_5	5	0	n/a	n/a
542.263081	3	odor_1	1	0	n/a	n/a
562.34584	3	odor_4	4	0	n/a	n/a
582.011557	3	odor_2	2	0	n/a	n/a
599.726501	3	odor_3	3	0	n/a	n/a
618.27225	3	odor_5	5	0	n/a	n/a
