onset	duration	trial_type	stimulus_number	response_made	response_key	response_time
5.003711	2.049889	image_1	1	0	n/a	n/a
23.377775	2.041591	image_1	1	1	1!	0.515693
41.260184	1.999898	image_2	2	0	n/a	n/a
59.000937	2.0166	image_1	1	0	n/a	n/a
77.924973	2.041587	image_3	3	0	n/a	n/a
96.965651	2.058264	image_1	1	0	n/a	n/a
115.989717	2.024891	image_4	4	0	n/a	n/a
133.780425	2.016552	image_1	1	0	n/a	n/a
151.479511	1.999889	image_5	5	0	n/a	n/a
168.311979	2.008221	image_2	2	0	n/a	n/a
186.086076	2.02488	image_2	2	1	1!	0.414526
204.068479	2.02493	image_3	3	0	n/a	n/a
223.034174	1.991549	image_2	2	0	n/a	n/a
240.108297	2.016545	image_4	4	0	n/a	n/a
256.957462	1.999847	image_2	2	0	n/a	n/a
273.223266	2.041538	image_5	5	0	n/a	n/a
292.005637	2.033202	image_3	3	0	n/a	n/a
309.738062	2.024871	image_3	3	1	1!	0.495747
327.503796	2.024884	image_4	4	0	n/a	n/a
344.869613	2.016509	image_3	3	1	1!	0.455774
363.776972	2.024893	image_5	5	0	n/a	n/a
379.734443	2.016601	image_4	4	0	n/a	n/a
396.9419	2.016544	image_4	4	1	1!	0.525808
414.299335	2.008226	image_5	5	0	n/a	n/a
431.456824	1.999848	image_5	5	0	n/a	n/a
448.564242	2.016563	image_1	1	0	n/a	n/a
465.138376	1.999903	image_2	2	0	n/a	n/a
482.40416	1.99989	image_5	5	0	n/a	n/a
500.128264	2.058205	image_4	4	0	n/a	n/a
517.802345	2.033264	image_3	3	0	n/a	n/a
534.193207	2.016514	image_3	3	1	1!	0.525457
550.567322	2.033226	image_4	4	0	n/a	n/a
568.241409	1.999937	image_5	5	0	n/a	n/a
586.107155	2.024938	image_2	2	0	n/a	n/a
603.164639	2.016541	image_1	1	0	n/a	n/a
620.488768	2.024893	image_5	5	0	n/a	n/a
636.221272	1.999914	image_5	5	0	n/a	n/a
655.345272	2.016553	image_4	4	0	n/a	n/a
672.761049	2.024924	image_4	4	0	n/a	n/a
689.835157	2.008225	image_5	5	0	n/a	n/a
704.759411	2.033203	image_3	3	0	n/a	n/a
722.78351	2.016512	image_4	4	0	n/a	n/a
739.715935	2.016549	image_3	3	0	n/a	n/a
754.123521	2.074893	image_3	3	1	1!	0.525557
774.855785	2.008226	image_5	5	0	n/a	n/a
790.105001	2.008225	image_2	2	0	n/a	n/a
809.495722	2.016506	image_4	4	0	n/a	n/a
828.88634	2.01656	image_2	2	0	n/a	n/a
846.952079	2.033268	image_3	3	0	n/a	n/a
865.142818	2.033215	image_2	2	0	n/a	n/a
882.166939	2.024893	image_2	2	1	1!	0.404278
900.207676	1.999888	image_5	5	0	n/a	n/a
918.281791	2.041505	image_1	1	0	n/a	n/a
932.156032	2.016557	image_4	4	0	n/a	n/a
946.121981	2.041553	image_1	1	0	n/a	n/a
964.754358	2.041598	image_3	3	0	n/a	n/a
983.603437	2.02488	image_1	1	0	n/a	n/a
1001.194164	1.999872	image_2	2	0	n/a	n/a
1015.901768	2.024922	image_1	1	0	n/a	n/a
1031.217606	2.024889	image_1	1	1	1!	0.767972
