onset	duration	trial_type	stimulus_number	response_made	response_key	response_time
8.494299	2.033269	image_1	1	0	n/a	n/a
24.260201	2.033227	image_1	1	0	n/a	n/a
40.35109	2.049888	image_2	2	0	n/a	n/a
56.841956	2.041555	image_1	1	0	n/a	n/a
73.791149	2.033278	image_3	3	0	n/a	n/a
89.848686	2.03322	image_1	1	1	1!	1.041533
105.922959	2.049844	image_4	4	0	n/a	n/a
119.75561	2.049896	image_1	1	0	n/a	n/a
137.196382	2.033236	image_5	5	0	n/a	n/a
151.720738	2.024836	image_2	2	0	n/a	n/a
167.169936	2.066551	image_2	2	0	n/a	n/a
183.269227	2.049823	image_3	3	0	n/a	n/a
198.493427	2.033255	image_2	2	1	1!	1.030344
214.792625	2.041613	image_4	4	0	n/a	n/a
231.525138	2.074939	image_2	2	1	1!	0.505517
249.71592	2.016608	image_5	5	0	n/a	n/a
266.615116	2.041547	image_3	3	0	n/a	n/a
282.131023	2.033229	image_3	3	1	1!	0.747754
298.780213	2.049944	image_4	4	0	n/a	n/a
315.104438	2.049869	image_3	3	0	n/a	n/a
333.036877	2.09161	image_5	5	0	n/a	n/a
349.669452	2.041514	image_4	4	0	n/a	n/a
368.018516	2.033271	image_4	4	0	n/a	n/a
382.942789	2.016629	image_5	5	0	n/a	n/a
401.508553	2.024968	image_5	5	1	2@	0.758004
421.557629	2.116517	image_1	1	0	n/a	n/a
437.381815	2.049939	image_4	4	0	n/a	n/a
454.047672	2.024897	image_5	5	0	n/a	n/a
471.605155	2.041609	image_3	3	0	n/a	n/a
490.079269	2.049884	image_2	2	0	n/a	n/a
505.711837	2.041564	image_2	2	0	n/a	n/a
520.286122	2.07489	image_3	3	0	n/a	n/a
534.368771	2.041581	image_5	5	0	n/a	n/a
551.584605	2.12494	image_4	4	0	n/a	n/a
567.692201	2.041521	image_1	1	0	n/a	n/a
583.433057	2.058241	image_5	5	0	n/a	n/a
598.80732	2.016559	image_5	5	0	n/a	n/a
616.914809	2.083196	image_4	4	0	n/a	n/a
634.038933	2.033278	image_4	4	0	n/a	n/a
651.371427	2.049938	image_5	5	0	n/a	n/a
667.62064	2.033236	image_3	3	0	n/a	n/a
686.611434	2.049889	image_4	4	1	2@	0.818484
703.427239	2.049894	image_3	3	1	2@	2.393725
719.709781	2.049888	image_3	3	1	2@	2.403704
735.983989	2.024944	image_5	5	0	n/a	n/a
755.308047	2.024901	image_2	2	0	n/a	n/a
770.373986	2.099937	image_4	4	0	n/a	n/a
787.256495	2.058238	image_2	2	1	2@	1.656529
802.830747	2.124886	image_3	3	0	n/a	n/a
817.955063	2.058176	image_2	2	0	n/a	n/a
832.212651	2.066559	image_2	2	1	2@	0.818242
850.353433	2.049894	image_5	5	0	n/a	n/a
865.877684	2.041562	image_1	1	0	n/a	n/a
881.768582	2.041557	image_4	4	0	n/a	n/a
898.384452	2.049919	image_1	1	0	n/a	n/a
913.6087	2.049946	image_3	3	0	n/a	n/a
928.257991	2.049903	image_1	1	1	2@	0.929745
944.232259	2.058182	image_2	2	0	n/a	n/a
960.314765	2.058233	image_1	1	0	n/a	n/a
978.922196	2.074888	image_1	1	0	n/a	n/a
