onset	duration	trial_type	stimulus_number	response_made	response_key	response_time
6.018789	3	odor_1	1	0	n/a	n/a
28.279834	3	odor_1	1	0	n/a	n/a
47.282946	3	odor_2	2	0	n/a	n/a
67.923918	3	odor_1	1	0	n/a	n/a
87.465422	3	odor_3	3	0	n/a	n/a
105.635802	3	odor_1	1	0	n/a	n/a
125.351711	3	odor_4	4	0	n/a	n/a
147.495721	3	odor_1	1	0	n/a	n/a
170.318528	3	odor_5	5	0	n/a	n/a
191.813609	3	odor_2	2	0	n/a	n/a
209.488074	3	odor_2	2	1	1!	1.831532
228.307201	3	odor_3	3	0	n/a	n/a
246.918783	3	odor_2	2	1	1!	3.261035
268.905445	3	odor_4	4	0	n/a	n/a
287.916589	3	odor_2	2	0	n/a	n/a
306.541086	3	odor_5	5	0	n/a	n/a
329.548578	3	odor_3	3	0	n/a	n/a
350.240966	3	odor_3	3	1	1!	2.917475
370.700543	3	odor_4	4	0	n/a	n/a
397.759554	3	odor_3	3	0	n/a	n/a
420.112834	3	odor_5	5	0	n/a	n/a
439.532237	3	odor_4	4	1	1!	3.809701
462.110821	3	odor_4	4	0	n/a	n/a
484.198911	3	odor_5	5	0	n/a	n/a
504.732091	3	odor_5	5	1	1!	3.492731
525.857354	3	odor_1	1	0	n/a	n/a
546.941276	3	odor_5	5	0	n/a	n/a
568.130095	3	odor_2	2	0	n/a	n/a
591.456284	3	odor_4	4	0	n/a	n/a
613.075138	3	odor_3	3	0	n/a	n/a
