onset	duration	trial_type	stimulus_number	response_made	response_key	response_time
3.151071	2.024898	image_1	1	0	n/a	n/a
20.725167	2.041554	image_1	1	1	2@	0.798396
35.682728	2.008228	image_2	2	0	n/a	n/a
50.431975	2.083222	image_1	1	0	n/a	n/a
66.131173	2.024874	image_3	3	0	n/a	n/a
82.913633	2.033213	image_1	1	0	n/a	n/a
101.362675	2.03323	image_4	4	0	n/a	n/a
116.41191	2.041586	image_1	1	0	n/a	n/a
132.077754	2.01656	image_5	5	0	n/a	n/a
149.110259	2.049842	image_2	2	0	n/a	n/a
164.901074	2.016594	image_2	2	1	2@	0.747387
180.63359	2.033261	image_3	3	0	n/a	n/a
198.307682	2.024889	image_2	2	0	n/a	n/a
214.715173	2.049957	image_4	4	0	n/a	n/a
230.897669	2.00822	image_2	2	0	n/a	n/a
247.438477	2.091561	image_5	5	0	n/a	n/a
261.462803	2.049847	image_3	3	0	n/a	n/a
277.503595	2.091617	image_3	3	0	n/a	n/a
292.502818	2.041601	image_4	4	0	n/a	n/a
310.926917	2.049894	image_3	3	0	n/a	n/a
326.40107	2.01656	image_5	5	0	n/a	n/a
342.83356	2.091549	image_4	4	0	n/a	n/a
357.849465	2.083257	image_4	4	1	2@	0.848412
375.806857	2.008226	image_5	5	0	n/a	n/a
392.431003	2.024936	image_5	5	1	2@	0.789197
409.688446	2.066556	image_1	1	0	n/a	n/a
427.295872	2.016606	image_2	2	0	n/a	n/a
444.070013	2.024896	image_5	5	0	n/a	n/a
461.877424	2.024884	image_4	4	0	n/a	n/a
478.15163	2.033177	image_3	3	0	n/a	n/a
492.192528	2.041554	image_3	3	0	n/a	n/a
507.858389	2.041557	image_4	4	0	n/a	n/a
522.999266	2.016608	image_5	5	0	n/a	n/a
540.75669	2.033298	image_2	2	0	n/a	n/a
555.189282	2.108218	image_1	1	0	n/a	n/a
572.863384	2.083201	image_5	5	0	n/a	n/a
588.404277	2.058185	image_5	5	0	n/a	n/a
605.653365	2.074889	image_4	4	0	n/a	n/a
620.544289	2.033178	image_4	4	0	n/a	n/a
634.576849	2.049891	image_5	5	0	n/a	n/a
651.242666	2.041559	image_3	3	0	n/a	n/a
666.625201	2.108225	image_4	4	0	n/a	n/a
684.515951	2.041621	image_3	3	0	n/a	n/a
699.865159	2.05822	image_3	3	0	n/a	n/a
716.705949	2.049893	image_5	5	0	n/a	n/a
734.605027	2.058269	image_2	2	0	n/a	n/a
752.779097	2.041558	image_4	4	0	n/a	n/a
770.528174	2.049893	image_2	2	0	n/a	n/a
786.552357	2.033234	image_3	3	0	n/a	n/a
804.334772	2.024886	image_2	2	0	n/a	n/a
821.775581	2.024845	image_2	2	1	2@	1.343144
836.916465	2.008179	image_5	5	0	n/a	n/a
853.873883	2.141593	image_1	1	0	n/a	n/a
870.364716	2.041556	image_4	4	0	n/a	n/a
884.347317	2.124925	image_1	1	1	2@	2.660292
900.188206	2.041518	image_3	3	0	n/a	n/a
917.33733	2.066547	image_1	1	0	n/a	n/a
935.478032	2.024864	image_2	2	0	n/a	n/a
949.810606	2.03322	image_1	1	0	n/a	n/a
967.951344	2.116593	image_1	1	1	2@	6.275581
