onset	duration	trial_type	stimulus_number	response_made	response_key	response_time
13.009567	3	odor_1	1	1	2@	12.991025
34.46004	3	odor_1	1	1	2@	1.863549
55.004565	3	odor_2	2	0	n/a	n/a
75.017583	3	odor_1	1	0	n/a	n/a
94.29558	3	odor_3	3	0	n/a	n/a
116.111365	3	odor_1	1	0	n/a	n/a
150.773607	3	odor_4	4	0	n/a	n/a
169.340756	3	odor_1	1	0	n/a	n/a
190.159286	3	odor_5	5	0	n/a	n/a
212.89535	3	odor_2	2	0	n/a	n/a
231.793208	3	odor_2	2	0	n/a	n/a
254.438981	3	odor_3	3	0	n/a	n/a
274.081456	3	odor_2	2	0	n/a	n/a
293.702421	3	odor_4	4	0	n/a	n/a
319.677547	3	odor_2	2	0	n/a	n/a
339.971939	3	odor_5	5	1	2@	15.051202
362.092359	3	odor_3	3	1	2@	2.065115
383.516685	3	odor_3	3	1	2@	3.330751
402.573357	3	odor_4	4	0	n/a	n/a
425.162627	3	odor_3	3	1	2@	1.477458
447.594733	3	odor_5	5	0	n/a	n/a
470.000357	3	odor_4	4	0	n/a	n/a
490.21708	3	odor_4	4	0	n/a	n/a
517.029385	3	odor_5	5	1	2@	1.125435
537.908102	3	odor_5	5	0	n/a	n/a
560.114411	3	odor_1	1	1	2@	1.309277
579.649882	3	odor_4	4	1	2@	1.098782
604.630713	3	odor_2	2	1	2@	1.993948
627.158707	3	odor_3	3	1	2@	1.417062
645.982286	3	odor_5	5	1	2@	1.205381
