onset	duration	trial_type	stimulus_number	response_made	response_key	response_time
13.369804	3	odor_5	5	0	n/a	n/a
32.216942	3	odor_3	3	0	n/a	n/a
52.63979	3	odor_4	4	1	4$	2.821923
71.238274	3	odor_2	2	0	n/a	n/a
90.855046	3	odor_1	1	0	n/a	n/a
111.758909	3	odor_5	5	0	n/a	n/a
135.157699	3	odor_5	5	1	4$	3.78752
158.216611	3	odor_4	4	0	n/a	n/a
178.078352	3	odor_4	4	1	4$	4.826019
201.490652	3	odor_5	5	0	n/a	n/a
219.605732	3	odor_3	3	0	n/a	n/a
241.92936	3	odor_4	4	1	4$	3.849696
264.507427	3	odor_3	3	1	4$	4.47176
284.242931	3	odor_3	3	1	4$	4.877528
306.749514	3	odor_5	5	0	n/a	n/a
330.718328	3	odor_2	2	0	n/a	n/a
356.179691	3	odor_4	4	0	n/a	n/a
378.038371	3	odor_2	2	0	n/a	n/a
408.433937	3	odor_3	3	0	n/a	n/a
430.88068	3	odor_2	2	0	n/a	n/a
454.817903	3	odor_2	2	1	4$	2.853746
472.981936	3	odor_5	5	0	n/a	n/a
494.329101	3	odor_1	1	0	n/a	n/a
515.897754	3	odor_4	4	0	n/a	n/a
538.334566	3	odor_1	1	0	n/a	n/a
557.487898	3	odor_3	3	0	n/a	n/a
579.221203	3	odor_1	1	0	n/a	n/a
597.583084	3	odor_2	2	0	n/a	n/a
619.880728	3	odor_1	1	0	n/a	n/a
641.728182	3	odor_1	1	1	4$	4.526817
