onset	duration	trial_type	stimulus_number	response_made	response_key	response_time
4.757921	2.024899	image_1	1	0	n/a	n/a
23.657009	2.016562	image_1	1	0	n/a	n/a
39.631229	1.999893	image_2	2	0	n/a	n/a
57.380401	2.033232	image_1	1	0	n/a	n/a
72.304637	2.008236	image_3	3	0	n/a	n/a
89.045505	2.024921	image_1	1	0	n/a	n/a
108.477878	2.024897	image_4	4	0	n/a	n/a
125.427054	2.024896	image_1	1	0	n/a	n/a
144.067858	2.016517	image_5	5	0	n/a	n/a
161.150316	1.999893	image_2	2	0	n/a	n/a
181.041012	2.041571	image_2	2	1	2@	0.606141
200.298415	2.016562	image_3	3	0	n/a	n/a
218.572522	2.016576	image_2	2	0	n/a	n/a
235.480045	2.016554	image_4	4	0	n/a	n/a
251.72091	2.008245	image_2	2	0	n/a	n/a
269.245095	2.016526	image_5	5	0	n/a	n/a
286.644213	2.024905	image_3	3	0	n/a	n/a
301.935143	2.016562	image_3	3	1	2@	0.778157
319.259294	2.024902	image_4	4	0	n/a	n/a
339.091667	2.016606	image_3	3	0	n/a	n/a
353.849284	1.991556	image_5	5	0	n/a	n/a
373.814974	2.024896	image_4	4	0	n/a	n/a
391.564109	2.024901	image_4	4	0	n/a	n/a
408.329959	1.991565	image_5	5	0	n/a	n/a
422.895915	2.016648	image_5	5	1	2@	0.858416
440.561728	2.024944	image_1	1	0	n/a	n/a
458.044204	2.03328	image_2	2	0	n/a	n/a
474.78506	2.008228	image_5	5	0	n/a	n/a
491.417584	2.0249	image_4	4	0	n/a	n/a
511.52494	2.033234	image_3	3	0	n/a	n/a
526.432549	2.024892	image_1	1	0	n/a	n/a
543.990027	2.033274	image_1	1	1	2@	0.597872
560.364237	2.024938	image_2	2	0	n/a	n/a
579.554966	2.02497	image_1	1	0	n/a	n/a
597.037448	2.074935	image_3	3	0	n/a	n/a
614.069955	2.024904	image_1	1	0	n/a	n/a
630.335837	2.033234	image_4	4	0	n/a	n/a
650.03488	2.033222	image_1	1	0	n/a	n/a
666.450739	1.999943	image_5	5	0	n/a	n/a
683.774901	2.033273	image_2	2	0	n/a	n/a
700.407435	2.008264	image_2	2	0	n/a	n/a
716.414987	2.033231	image_3	3	0	n/a	n/a
733.97246	1.999944	image_2	2	0	n/a	n/a
751.663268	2.016608	image_4	4	0	n/a	n/a
767.937481	2.008268	image_2	2	0	n/a	n/a
784.036691	2.058276	image_5	5	0	n/a	n/a
799.452653	2.033234	image_3	3	0	n/a	n/a
816.410124	2.02491	image_3	3	1	2@	1.090817
832.967669	2.024891	image_4	4	0	n/a	n/a
850.158528	2.024872	image_3	3	0	n/a	n/a
868.374261	2.066565	image_5	5	0	n/a	n/a
883.806846	2.016589	image_4	4	0	n/a	n/a
902.380947	2.041567	image_4	4	1	2@	0.642077
919.78843	1.999942	image_5	5	0	n/a	n/a
934.404429	2.041527	image_5	5	1	2@	0.595807
951.211909	2.024892	image_1	1	0	n/a	n/a
969.694342	2.008236	image_2	2	0	n/a	n/a
988.976747	2.033268	image_5	5	0	n/a	n/a
1004.13436	2.041576	image_4	4	0	n/a	n/a
1020.250235	2.016547	image_3	3	0	n/a	n/a
