onset	duration	trial_type	stimulus_number	response_made	response_key	response_time
8.075331	3	odor_1	1	0	n/a	n/a
30.593619	3	odor_1	1	1	1!	6.477993
51.727593	3	odor_2	2	0	n/a	n/a
70.812927	3	odor_1	1	0	n/a	n/a
89.969145	3	odor_3	3	0	n/a	n/a
110.238145	3	odor_1	1	0	n/a	n/a
132.79497	3	odor_4	4	0	n/a	n/a
157.048002	3	odor_1	1	0	n/a	n/a
176.242337	3	odor_5	5	0	n/a	n/a
197.581177	3	odor_2	2	0	n/a	n/a
217.467449	3	odor_2	2	0	n/a	n/a
235.837213	3	odor_3	3	0	n/a	n/a
255.353837	3	odor_2	2	0	n/a	n/a
277.503736	3	odor_4	4	0	n/a	n/a
295.844075	3	odor_2	2	0	n/a	n/a
315.266226	3	odor_5	5	0	n/a	n/a
332.879255	3	odor_3	3	0	n/a	n/a
354.255651	3	odor_3	3	1	1!	2.866572
377.262537	3	odor_4	4	0	n/a	n/a
397.516675	3	odor_3	3	1	1!	3.594152
419.087146	3	odor_5	5	0	n/a	n/a
439.375028	3	odor_4	4	0	n/a	n/a
460.31407	3	odor_4	4	1	1!	2.877423
479.189037	3	odor_5	5	0	n/a	n/a
498.637455	3	odor_5	5	1	1!	3.502673
518.824589	3	odor_1	1	0	n/a	n/a
538.285286	3	odor_5	5	0	n/a	n/a
556.754568	3	odor_4	4	0	n/a	n/a
577.866696	3	odor_2	2	1	1!	2.80779
596.091421	3	odor_3	3	0	n/a	n/a
