onset	duration	trial_type	stimulus_number	response_made	response_key	response_time
12.600001	3	odor_2	2	0	n/a	n/a
31.56728	3	odor_1	1	0	n/a	n/a
51.434772	3	odor_3	3	0	n/a	n/a
71.998441	3	odor_1	1	0	n/a	n/a
94.264166	3	odor_4	4	0	n/a	n/a
113.976577	3	odor_1	1	0	n/a	n/a
134.589303	3	odor_5	5	0	n/a	n/a
155.562966	3	odor_2	2	0	n/a	n/a
176.0726	3	odor_2	2	1	1!	3.501066
197.945313	3	odor_3	3	0	n/a	n/a
218.604698	3	odor_2	2	0	n/a	n/a
238.355729	3	odor_4	4	0	n/a	n/a
257.728513	3	odor_2	2	0	n/a	n/a
277.121273	3	odor_5	5	0	n/a	n/a
297.925771	3	odor_3	3	0	n/a	n/a
320.556987	3	odor_3	3	0	n/a	n/a
342.716208	3	odor_4	4	1	1!	4.425306
362.319908	3	odor_3	3	0	n/a	n/a
382.083904	3	odor_5	5	0	n/a	n/a
402.567256	3	odor_4	4	0	n/a	n/a
426.022353	3	odor_4	4	0	n/a	n/a
448.526911	3	odor_5	5	0	n/a	n/a
468.28579	3	odor_5	5	1	1!	1.507691
487.284973	3	odor_1	1	0	n/a	n/a
511.890894	3	odor_3	3	0	n/a	n/a
531.33874	3	odor_2	2	0	n/a	n/a
551.783021	3	odor_4	4	0	n/a	n/a
575.490421	3	odor_5	5	1	1!	3.601922
