onset	duration	trial_type	stimulus_number	response_made	response_key	response_time
8.5108	2.074924	image_1	1	0	n/a	n/a
24.776629	2.074924	image_1	1	1	1!	0.879661
41.892403	2.049932	image_2	2	0	n/a	n/a
58.891531	2.083259	image_1	1	0	n/a	n/a
73.390778	2.074883	image_3	3	0	n/a	n/a
87.898378	2.099868	image_1	1	1	1!	1.221934
106.947427	2.083168	image_4	4	0	n/a	n/a
124.588139	2.083221	image_1	1	0	n/a	n/a
142.195563	2.049879	image_5	5	0	n/a	n/a
159.419678	2.058212	image_2	2	0	n/a	n/a
175.385564	2.058185	image_2	2	1	1!	1.484788
190.843056	2.066544	image_3	3	0	n/a	n/a
205.758951	2.058216	image_2	2	0	n/a	n/a
224.666314	2.074945	image_4	4	0	n/a	n/a
241.923794	2.0915	image_2	2	0	n/a	n/a
257.522939	2.049888	image_5	5	0	n/a	n/a
272.097191	2.074884	image_3	3	0	n/a	n/a
289.662993	2.083175	image_3	3	1	1!	1.151186
305.620461	2.083213	image_4	4	0	n/a	n/a
321.652972	2.083222	image_3	3	0	n/a	n/a
336.352208	2.058382	image_5	5	0	n/a	n/a
354.342944	2.066548	image_4	4	0	n/a	n/a
370.850427	2.074887	image_4	4	1	1!	1.283345
386.724606	2.049882	image_5	5	0	n/a	n/a
403.232086	2.049891	image_5	5	1	1!	0.949094
418.506346	2.091512	image_1	1	0	n/a	n/a
434.013838	2.058214	image_5	5	0	n/a	n/a
449.346397	2.066528	image_4	4	0	n/a	n/a
464.845612	2.091588	image_2	2	0	n/a	n/a
483.786286	2.074859	image_3	3	0	n/a	n/a
502.193693	2.083214	image_3	3	0	n/a	n/a
519.834398	2.074933	image_2	2	0	n/a	n/a
535.625301	2.083172	image_4	4	0	n/a	n/a
555.049248	2.074902	image_5	5	0	n/a	n/a
571.915123	2.074812	image_1	1	0	n/a	n/a
588.664178	2.091555	image_5	5	0	n/a	n/a
605.679967	2.083221	image_5	5	1	1!	0.979645
622.012459	2.083222	image_4	4	0	n/a	n/a
638.444997	2.083193	image_4	4	1	1!	0.918941
654.127467	2.049892	image_5	5	0	n/a	n/a
670.368302	2.083215	image_3	3	0	n/a	n/a
686.992448	2.091544	image_4	4	0	n/a	n/a
703.13333	2.08317	image_3	3	1	1!	1.42495
719.515759	2.083225	image_3	3	1	1!	1.274275
735.848297	2.058175	image_5	5	0	n/a	n/a
752.197407	2.0666	image_2	2	0	n/a	n/a
769.113201	2.091553	image_4	4	0	n/a	n/a
785.07071	2.066558	image_2	2	0	n/a	n/a
802.478146	2.091565	image_3	3	0	n/a	n/a
819.660601	2.066543	image_2	2	0	n/a	n/a
838.542977	2.058203	image_2	2	1	1!	1.019823
854.850439	2.049897	image_5	5	0	n/a	n/a
871.982899	2.083212	image_1	1	0	n/a	n/a
887.665422	2.108212	image_4	4	0	n/a	n/a
903.622923	2.091599	image_1	1	1	1!	1.29341
921.130354	2.083229	image_3	3	0	n/a	n/a
938.162814	2.074892	image_1	1	0	n/a	n/a
954.070324	2.083222	image_2	2	0	n/a	n/a
969.027886	2.133221	image_1	1	0	n/a	n/a
985.460372	2.091549	image_1	1	1	1!	0.88854
