onset	duration	trial_type	stimulus_number	response_made	response_key	response_time
3.15339	2.024886	image_1	1	0	n/a	n/a
19.344205	2.058179	image_1	1	1	2@	1.141626
35.90165	1.999893	image_2	2	0	n/a	n/a
53.37575	2.033261	image_1	1	0	n/a	n/a
70.949885	2.066555	image_3	3	0	n/a	n/a
88.148971	2.024884	image_1	1	0	n/a	n/a
105.014761	2.016555	image_4	4	0	n/a	n/a
119.205708	2.016587	image_1	1	0	n/a	n/a
136.863179	2.008214	image_5	5	0	n/a	n/a
155.553829	2.024887	image_2	2	0	n/a	n/a
173.161255	2.008245	image_2	2	0	n/a	n/a
191.385339	2.016534	image_3	3	0	n/a	n/a
209.401068	2.041548	image_2	2	0	n/a	n/a
224.400332	2.074843	image_4	4	0	n/a	n/a
241.699405	1.991552	image_2	2	0	n/a	n/a
259.298543	1.999844	image_5	5	0	n/a	n/a
273.614431	2.024884	image_3	3	0	n/a	n/a
287.663716	2.041543	image_3	3	0	n/a	n/a
302.571275	2.074897	image_4	4	0	n/a	n/a
320.337029	2.033272	image_3	3	0	n/a	n/a
338.002781	1.991564	image_5	5	0	n/a	n/a
356.118521	2.066554	image_4	4	0	n/a	n/a
370.734436	2.033226	image_4	4	0	n/a	n/a
389.0585	2.024891	image_5	5	1	2@	0.868528
403.482754	2.016601	image_5	5	0	n/a	n/a
421.531828	2.016605	image_1	1	0	n/a	n/a
438.897642	2.024891	image_2	2	0	n/a	n/a
456.53836	2.008223	image_5	5	0	n/a	n/a
474.545775	2.024892	image_4	4	0	n/a	n/a
492.9032	2.016521	image_3	3	1	2@	0.586379
507.060774	2.024881	image_3	3	1	2@	0.858399
523.943238	2.024882	image_4	4	0	n/a	n/a
541.525704	1.999847	image_5	5	0	n/a	n/a
559.024762	1.999892	image_2	2	0	n/a	n/a
576.940524	2.033249	image_1	1	0	n/a	n/a
594.381277	2.008224	image_5	5	0	n/a	n/a
609.013856	1.999949	image_5	5	0	n/a	n/a
626.662957	2.033216	image_4	4	0	n/a	n/a
641.245539	2.0249	image_4	4	0	n/a	n/a
655.478135	2.02489	image_5	5	0	n/a	n/a
673.477203	2.033245	image_3	3	0	n/a	n/a
690.83481	2.033067	image_4	4	0	n/a	n/a
708.300453	2.024901	image_3	3	1	2@	1.030298
725.249596	2.01651	image_3	3	1	2@	1.060263
742.606987	2.049899	image_5	5	0	n/a	n/a
759.264516	2.033191	image_2	2	0	n/a	n/a
776.763568	2.016602	image_4	4	0	n/a	n/a
793.729362	2.041561	image_2	2	0	n/a	n/a
811.653466	2.016534	image_3	3	0	n/a	n/a
829.552525	2.03323	image_2	2	0	n/a	n/a
848.443225	2.041604	image_2	2	0	n/a	n/a
866.16735	2.033201	image_5	5	0	n/a	n/a
883.533086	2.041551	image_1	1	0	n/a	n/a
897.624022	2.033231	image_4	4	0	n/a	n/a
911.848293	2.024936	image_1	1	0	n/a	n/a
930.455675	2.033264	image_3	3	0	n/a	n/a
947.163155	2.033256	image_1	1	0	n/a	n/a
965.328901	2.049867	image_2	2	0	n/a	n/a
980.536433	2.049883	image_1	1	1	2@	1.817296
998.393857	2.016597	image_1	1	1	2@	0.706894
