onset	duration	trial_type	stimulus_number	response_made	response_key	response_time
1.91256	2.058209	image_1	1	0	n/a	n/a
19.036674	2.058227	image_1	1	0	n/a	n/a
36.235781	2.033224	image_2	2	0	n/a	n/a
53.526639	2.049811	image_1	1	0	n/a	n/a
69.400747	2.04989	image_3	3	0	n/a	n/a
84.66664	2.041541	image_1	1	0	n/a	n/a
100.057505	2.066547	image_4	4	0	n/a	n/a
115.990015	2.041559	image_1	1	0	n/a	n/a
134.872374	2.033221	image_5	5	0	n/a	n/a
152.938108	2.033223	image_2	2	0	n/a	n/a
171.487158	2.024893	image_2	2	0	n/a	n/a
188.527954	2.049891	image_3	3	0	n/a	n/a
203.102196	2.041556	image_2	2	0	n/a	n/a
222.109557	2.049882	image_4	4	0	n/a	n/a
238.358722	2.033265	image_2	2	0	n/a	n/a
256.116183	2.024888	image_5	5	0	n/a	n/a
270.140423	2.049876	image_3	3	0	n/a	n/a
285.489635	2.058212	image_3	3	0	n/a	n/a
302.730406	2.05822	image_4	4	0	n/a	n/a
321.554438	2.05828	image_3	3	0	n/a	n/a
336.195345	2.033224	image_5	5	0	n/a	n/a
355.677682	2.049895	image_4	4	0	n/a	n/a
374.335057	2.058221	image_4	4	1	1!	1.040385
391.775818	2.033233	image_5	5	0	n/a	n/a
407.158366	2.049881	image_5	5	0	n/a	n/a
423.274208	2.049884	image_1	1	0	n/a	n/a
440.873327	2.041524	image_5	5	0	n/a	n/a
456.905881	2.049809	image_4	4	0	n/a	n/a
473.62995	2.041548	image_2	2	0	n/a	n/a
489.720787	2.058217	image_3	3	0	n/a	n/a
508.219838	2.058258	image_3	3	1	1!	0.666641
524.560654	2.041556	image_2	2	0	n/a	n/a
541.659779	2.049891	image_4	4	1	1!	15.145017
557.850616	2.049927	image_5	5	0	n/a	n/a
573.333151	2.058228	image_1	1	0	n/a	n/a
589.074005	2.033235	image_5	5	0	n/a	n/a
606.106461	2.03322	image_5	5	1	1!	0.707064
623.288956	2.066507	image_4	4	0	n/a	n/a
641.188003	2.049874	image_4	4	1	1!	0.646619
659.062077	2.041552	image_5	5	0	n/a	n/a
676.15287	2.058207	image_3	3	0	n/a	n/a
693.243653	2.074925	image_4	4	0	n/a	n/a
709.984454	2.058268	image_3	3	0	n/a	n/a
728.175208	2.05824	image_3	3	1	1!	0.717643
744.824329	2.041549	image_5	5	0	n/a	n/a
761.890151	2.049858	image_2	2	0	n/a	n/a
776.80607	2.058169	image_4	4	0	n/a	n/a
792.488539	2.049886	image_2	2	0	n/a	n/a
809.346008	2.066597	image_3	3	0	n/a	n/a
827.028428	2.099945	image_2	2	0	n/a	n/a
841.811012	2.066544	image_2	2	0	n/a	n/a
859.493491	2.049916	image_5	5	0	n/a	n/a
877.584171	2.05822	image_1	1	0	n/a	n/a
893.408361	2.066564	image_4	4	0	n/a	n/a
907.790945	2.058214	image_1	1	0	n/a	n/a
926.656649	2.066543	image_3	3	0	n/a	n/a
946.947272	2.074879	image_1	1	0	n/a	n/a
965.596301	2.049889	image_2	2	0	n/a	n/a
981.037179	2.058214	image_1	1	0	n/a	n/a
995.269824	2.058169	image_1	1	0	n/a	n/a
