onset	duration	trial_type	stimulus_number	response_made	response_key	response_time
4.801671	3	odor_1	1	0	n/a	n/a
26.317166	3	odor_1	1	0	n/a	n/a
51.687797	3	odor_2	2	0	n/a	n/a
77.396531	3	odor_1	1	0	n/a	n/a
98.288148	3	odor_3	3	0	n/a	n/a
118.912927	3	odor_1	1	0	n/a	n/a
140.866517	3	odor_4	4	0	n/a	n/a
166.29808	3	odor_1	1	0	n/a	n/a
188.492889	3	odor_5	5	1	1!	3.313746
213.841694	3	odor_2	2	0	n/a	n/a
240.54171	3	odor_2	2	1	1!	2.905452
267.635659	3	odor_3	3	0	n/a	n/a
293.621908	3	odor_2	2	0	n/a	n/a
323.250408	3	odor_4	4	0	n/a	n/a
345.470277	3	odor_2	2	1	1!	4.995924
368.683861	3	odor_5	5	0	n/a	n/a
387.330692	3	odor_3	3	0	n/a	n/a
408.35179	3	odor_3	3	0	n/a	n/a
428.74396	3	odor_4	4	0	n/a	n/a
451.763712	3	odor_3	3	0	n/a	n/a
478.457058	3	odor_5	5	0	n/a	n/a
498.849308	3	odor_4	4	0	n/a	n/a
519.564439	3	odor_4	4	1	1!	2.144795
546.829138	3	odor_5	5	0	n/a	n/a
579.4869	3	odor_5	5	1	1!	3.771322
609.648374	3	odor_1	1	0	n/a	n/a
638.47207	3	odor_5	5	0	n/a	n/a
671.524751	3	odor_4	4	0	n/a	n/a
693.612629	3	odor_2	2	0	n/a	n/a
718.88463	3	odor_3	3	0	n/a	n/a
