onset	duration	trial_type	stimulus_number	response_made	response_key	response_time
1.865703	2.024889	image_1	1	0	n/a	n/a
18.523192	2.033204	image_1	1	1	1!	0.652846
33.39742	2.033364	image_2	2	0	n/a	n/a
48.596653	2.024902	image_1	1	0	n/a	n/a
63.587539	2.041581	image_3	3	0	n/a	n/a
81.461593	2.024894	image_1	1	0	n/a	n/a
99.210745	2.05821	image_4	4	0	n/a	n/a
115.135019	2.041393	image_1	1	0	n/a	n/a
131.867333	2.008261	image_5	5	0	n/a	n/a
146.874942	2.016543	image_2	2	0	n/a	n/a
164.332475	2.008083	image_2	2	0	n/a	n/a
180.94819	2.02486	image_3	3	0	n/a	n/a
196.614025	2.033241	image_2	2	0	n/a	n/a
211.08826	2.041611	image_4	4	0	n/a	n/a
226.612447	2.016654	image_2	2	0	n/a	n/a
244.528206	2.016648	image_5	5	0	n/a	n/a
259.502457	2.033272	image_3	3	0	n/a	n/a
276.309896	2.041598	image_3	3	1	1!	0.65745
291.925828	2.033173	image_4	4	0	n/a	n/a
311.458126	2.108248	image_3	3	0	n/a	n/a
327.882248	2.016628	image_5	5	0	n/a	n/a
343.34811	2.049884	image_4	4	0	n/a	n/a
360.330588	2.03324	image_4	4	0	n/a	n/a
377.446512	1.999737	image_5	5	0	n/a	n/a
393.03721	2.016606	image_5	5	0	n/a	n/a
408.66976	2.041632	image_1	1	0	n/a	n/a
424.727298	2.049901	image_2	2	0	n/a	n/a
441.326442	2.00819	image_5	5	0	n/a	n/a
457.817245	2.041574	image_4	4	0	n/a	n/a
473.283098	2.033213	image_3	3	0	n/a	n/a
489.565592	2.033218	image_3	3	0	n/a	n/a
504.456487	2.04164	image_4	4	0	n/a	n/a
520.064005	2.008243	image_5	5	0	n/a	n/a
537.14647	2.033243	image_2	2	0	n/a	n/a
554.978929	2.033172	image_1	1	0	n/a	n/a
571.936331	1.999986	image_5	5	0	n/a	n/a
586.502253	2.008223	image_5	5	0	n/a	n/a
602.851431	2.04995	image_4	4	0	n/a	n/a
619.825644	2.083117	image_4	4	0	n/a	n/a
636.757992	2.04172	image_5	5	0	n/a	n/a
654.448747	2.033223	image_3	3	0	n/a	n/a
672.439469	2.041618	image_4	4	0	n/a	n/a
688.980338	2.041551	image_3	3	0	n/a	n/a
703.921266	2.024831	image_3	3	0	n/a	n/a
723.60356	2.008221	image_5	5	0	n/a	n/a
741.827725	2.033087	image_2	2	0	n/a	n/a
759.435054	2.058221	image_4	4	0	n/a	n/a
775.842548	2.074884	image_2	2	0	n/a	n/a
792.550004	2.041529	image_3	3	0	n/a	n/a
809.12418	2.016543	image_2	2	0	n/a	n/a
824.91499	2.033283	image_2	2	1	1!	0.595852
841.205794	2.024893	image_5	5	0	n/a	n/a
858.954917	2.066544	image_1	1	0	n/a	n/a
874.537503	2.041477	image_4	4	0	n/a	n/a
888.95335	2.041563	image_1	1	0	n/a	n/a
905.502533	2.091523	image_3	3	0	n/a	n/a
922.110019	2.049842	image_1	1	0	n/a	n/a
938.492522	2.024988	image_2	2	0	n/a	n/a
954.949949	2.041599	image_1	1	0	n/a	n/a
971.89914	2.083322	image_1	1	0	n/a	n/a
