onset	duration	trial_type	stimulus_number	response_made	response_key	response_time
5.500012	3	odor_5	5	0	n/a	n/a
29.416475	3	odor_3	3	0	n/a	n/a
50.730482	3	odor_4	4	1	1!	2.490064
71.274987	3	odor_2	2	0	n/a	n/a
94.1209	3	odor_1	1	0	n/a	n/a
116.014283	3	odor_5	5	0	n/a	n/a
135.772194	3	odor_5	5	1	1!	2.884824
160.147103	3	odor_4	4	0	n/a	n/a
184.695762	3	odor_4	4	1	1!	3.514964
208.885579	3	odor_5	5	0	n/a	n/a
231.248249	3	odor_3	3	0	n/a	n/a
250.4979	3	odor_4	4	0	n/a	n/a
272.493996	3	odor_3	3	0	n/a	n/a
295.111427	3	odor_3	3	0	n/a	n/a
316.907609	3	odor_5	5	0	n/a	n/a
345.003912	3	odor_2	2	0	n/a	n/a
367.660289	3	odor_4	4	0	n/a	n/a
392.094769	3	odor_2	2	0	n/a	n/a
416.535195	3	odor_3	3	0	n/a	n/a
434.797649	3	odor_2	2	0	n/a	n/a
458.541314	3	odor_2	2	1	1!	2.365466
478.289151	3	odor_5	5	0	n/a	n/a
502.405744	3	odor_1	1	0	n/a	n/a
528.317988	3	odor_4	4	0	n/a	n/a
550.998416	3	odor_1	1	0	n/a	n/a
571.960881	3	odor_3	3	0	n/a	n/a
596.160996	3	odor_1	1	0	n/a	n/a
617.900936	3	odor_2	2	0	n/a	n/a
641.232264	3	odor_1	1	0	n/a	n/a
660.886259	3	odor_1	1	0	n/a	n/a
